Location,NDVI,NDVI_date,NDWI,NDWI_date,NDBI,NDBI_date,date_version
Quezon,204.56339768762567,2019-12-29,-173.13182351196838,2019-12-29,-1510.6417491784637,2019-12-29,2019-12-29
Quirino,713.1676361756621,2019-12-29,-696.25120640612,2019-12-29,-1176.1770027091438,2019-12-29,2019-12-29
Region IX,1498.914547578693,2023-03-20,-1155.1997167242382,2023-03-20,3295.1203071978866,2023-03-20,2019-12-29
Rizal,1393.2941294619156,2019-12-29,-1318.274800839309,2019-12-29,-1027.634168672413,2019-12-29,2019-12-29
Romblon,39.96395376475019,2019-12-26,-0.22582270260242449,2019-12-26,-280.55848822785043,2019-12-26,2019-12-29
Samar,3008.7482924466376,2019-12-28,-2642.223023654857,2019-12-28,-1265.307543105883,2019-12-28,2019-12-29
Sarangani,2848.633864289651,2019-12-28,-2553.0157694142504,2019-12-28,-1194.6890505637816,2019-12-28,2019-12-29
Sorsogon,2065.903946599735,2019-12-31,-1919.1693711492812,2019-12-31,-1126.6133558156375,2019-12-31,2019-12-29
South Cotabato,4171.536908304886,2019-12-28,-3884.678168813689,2019-12-28,-1470.6906685277281,2019-12-28,2019-12-29
Southern Leyte,2676.597938593061,2019-12-28,-2484.3921538155423,2019-12-28,-2041.712400642228,2019-12-28,2019-12-29
Sultan Kudarat,2967.9576732344526,2019-12-28,-2640.3521595243733,2019-12-28,-1225.5240465396625,2019-12-28,2019-12-29
Sulu,3902.49682418701,2019-12-26,-3447.392967554027,2019-12-26,-1437.2114092718527,2019-12-26,2019-12-29
Surigao del Norte,1429.8813664163392,2019-12-28,-1395.0659658652469,2019-12-28,-1565.4380886431911,2019-12-28,2019-12-29
Surigao del Sur,3187.557419353939,2019-12-28,-2936.2352758015313,2019-12-28,-1866.6138748376181,2019-12-28,2019-12-29
Tarlac,917.5496963922926,2019-12-29,-827.8952155610734,2019-12-29,-1433.7776305975483,2019-12-29,2019-12-29
Tawi-tawi,379.54765248053883,2019-12-29,880.2523547565711,2019-12-29,2283.012242725072,2019-12-29,2019-12-29
Zambales,586.9814365067132,2019-12-29,-557.9693861585117,2019-12-29,-1120.0166450631584,2019-12-29,2019-12-29
Zamboanga del Norte,1172.2525982138593,2019-12-26,-968.4328259124783,2019-12-26,-525.7928296639166,2019-12-26,2019-12-29
Zamboanga del Sur,2825.405392841079,2019-12-26,-2529.200458384412,2019-12-26,-1086.413049801022,2019-12-26,2019-12-29
Zamboanga Sibugay,-789.279913429621,2019-12-26,789.279913429621,2019-12-26,-789.279913429621,2019-12-26,2019-12-29
