date,cases,Cases (Forecast),Subregion,ISO Country Code,Date Forecast
2018-12-30,1.0,,Zamboanga del Sur,PHL,2021-01-10
2019-01-13,57.0,,Zamboanga del Sur,PHL,2021-01-10
2019-01-20,39.0,,Zamboanga del Sur,PHL,2021-01-10
2019-01-27,56.0,,Zamboanga del Sur,PHL,2021-01-10
2019-02-03,45.0,,Zamboanga del Sur,PHL,2021-01-10
2019-02-10,54.0,,Zamboanga del Sur,PHL,2021-01-10
2019-02-17,64.0,,Zamboanga del Sur,PHL,2021-01-10
2019-02-24,64.0,,Zamboanga del Sur,PHL,2021-01-10
2019-03-03,46.0,,Zamboanga del Sur,PHL,2021-01-10
2019-03-10,68.0,,Zamboanga del Sur,PHL,2021-01-10
2019-03-17,40.0,,Zamboanga del Sur,PHL,2021-01-10
2019-03-24,49.0,,Zamboanga del Sur,PHL,2021-01-10
2019-03-31,43.0,,Zamboanga del Sur,PHL,2021-01-10
2019-04-07,48.0,,Zamboanga del Sur,PHL,2021-01-10
2019-04-14,52.0,,Zamboanga del Sur,PHL,2021-01-10
2019-04-21,70.0,,Zamboanga del Sur,PHL,2021-01-10
2019-04-28,65.0,,Zamboanga del Sur,PHL,2021-01-10
2019-05-05,87.0,,Zamboanga del Sur,PHL,2021-01-10
2019-05-12,100.0,,Zamboanga del Sur,PHL,2021-01-10
2019-05-19,86.0,,Zamboanga del Sur,PHL,2021-01-10
2019-05-26,103.0,,Zamboanga del Sur,PHL,2021-01-10
2019-06-02,134.0,,Zamboanga del Sur,PHL,2021-01-10
2019-06-09,127.0,,Zamboanga del Sur,PHL,2021-01-10
2019-06-16,148.0,,Zamboanga del Sur,PHL,2021-01-10
2019-06-23,141.91666666666666,,Zamboanga del Sur,PHL,2021-01-10
2019-06-30,135.83333333333334,,Zamboanga del Sur,PHL,2021-01-10
2019-07-07,129.75,,Zamboanga del Sur,PHL,2021-01-10
2019-07-14,123.66666666666667,,Zamboanga del Sur,PHL,2021-01-10
2019-07-21,117.58333333333334,,Zamboanga del Sur,PHL,2021-01-10
