Location,Hazard_Score,Hazard_SPC_1,Hazard_SPC_2,Hazard_SPC_3,Hazard_SPC_4,Vulnerability_Score,Vulnerability_SPC_1,Vulnerability_SPC_2,Vulnerability_SPC_3,Vulnerability_SPC_4,Lack of Coping Capacity_Score,Lack of Coping Capacity_SPC_1,Lack of Coping Capacity_SPC_2,Lack of Coping Capacity_SPC_3,Lack of Coping Capacity_SPC_4,Final_Risk_Score,children population,elderly population,total population,youth population,reporting_date
DAVAO DEL NORTE,1.6147348276573394,6.315078887002465,3.748123859825136,9.864907739909679,9.637711930534081,1.579411546835403,9.536344451590285,8.403262141461802,3.371595812345531,6.494915231777318,1.6229769949498918,9.550174226109375,9.84652583305835,10.0,9.752293577981652,1.5838281779643961,401062.2849430004,212570.19575500028,3515689.760288,721494.8167009996,2023-09-07 15:37:04
DAVAO DEL SUR,1.719753861610259,8.352354316482982,5.246168577913918,9.265510819587279,9.563258852854448,0.8900022119828465,9.121339856905731,5.782156491355736,1.0,1.927356558777154,1.5565571236864533,8.24894741358089,9.258025838764336,10.0,8.926605504587156,1.0308042191133169,525404.5942889994,260848.7349239997,4487407.8553530015,915401.9272719994,2023-09-07 15:37:04
DAVAO ORIENTAL,1.6646300130529321,7.307846961637709,3.886409054543005,9.93907821024365,9.843033704711603,1.408911228905537,9.9066188930221,8.47883851198299,2.216303371069018,6.445237100816727,1.6338250996861183,9.72376577115218,9.981753236814843,10.0,9.807339449541285,1.4550339074177834,150840.63091700035,82357.24132399993,1272694.1406340003,255628.972797,2023-09-07 15:37:04
DINAGAT ISLANDS,1.7655739441048472,8.831350293518913,4.874639131675822,9.967797291476463,9.986861315391744,1.9595372355231306,9.822635907470245,9.149440999659683,5.1882368509107275,7.566408863340889,1.6332942201194807,9.938638589678435,9.95958791582542,8.875,9.944954128440367,2.018532354488867,16259.578130999997,14890.133068000005,158693.51107100002,31707.059979999984,2023-09-07 15:37:04
EASTERN SAMAR,1.70328514419072,9.563262405666906,2.9705141712587886,9.785268529882257,9.662043518598143,1.8158606276920146,9.875645478335482,7.963237786251709,4.934199600928047,6.97607549104073,1.6257511644877387,9.673922661131142,9.892231919746704,10.0,9.229357798165138,1.8519275281091643,66233.76393799999,51550.02827600001,569219.478380999,108300.26459600015,2023-09-07 15:37:04
GUIMARAS,1.6935151918469846,8.951988408639341,3.1184555410023336,9.862510536390175,9.929454361878003,1.6859951984919668,9.525904245733674,8.850700726899301,3.6411949995635395,7.9204442290262325,1.6401677558164272,9.96902121776188,9.933830524003222,10.0,10.0,1.7240966121353254,66079.89232600002,59321.08185999998,688145.7960430003,136863.069134,2023-09-07 15:37:04
IFUGAO,1.3630842656149709,1.0,2.3757356359121657,9.906331212172368,9.895027422126768,1.526779819486676,9.918437072051228,8.66167370742468,2.808937421908338,6.8396051217752545,1.6338712617508668,9.889484284925281,9.860538073252545,10.0,9.807339449541285,1.3839859539167454,74016.84125599996,43805.332021,657020.8574170005,133718.58844599992,2023-09-07 15:37:04
ILOCOS NORTE,1.587442331492055,5.25496394279024,4.374684921152635,9.636277094753149,9.634980907468886,1.8407366789730049,9.62110236421793,8.528705454977615,4.915633559969205,6.528855603988176,1.6177630421704072,9.624732941066359,9.850478307665421,8.875,9.587155963302752,1.8077974557245753,73903.42811399997,78500.12153300009,760097.4128260011,137021.44848900003,2023-09-07 15:37:04
ILOCOS SUR,1.5093626551323507,3.350254697168418,4.271765033482953,9.661556254412577,9.419050226061957,1.6083966899183415,9.640700782893605,8.467978249931424,3.534275721872921,6.235998433401839,1.6263546929904087,9.66676962097412,9.891125795402123,10.0,9.394495412844037,1.5470769251053766,135320.01454700014,130154.583496,1356232.4955860002,257260.66950900003,2023-09-07 15:37:04
ILOILO,1.4189093951040923,6.591025872473807,1.4045524883031462,7.931428025412884,8.81774624220759,1.1779803228596641,9.29705911160454,5.828236939531061,2.672239664819953,2.4406699627266324,1.5723171508860452,8.778672412247985,9.52078951200707,10.0,6.917431192660551,1.112149604759777,580374.2182680002,502794.9039940008,5677868.67496799,1116788.845164999,2023-09-07 15:37:04
